1A6A:0000 s_pshot1
1A6B:0000 s_pshot2
1A6C:0000 s_pshot_exp1
1A6D:0000 s_pshot_exp2
1A6E:0000 s_pshot_exp3
1A6F:0000 s_player
1A70:0000 s_explode
1A71:0000 s_boltbonus
1A72:0000 s_boltbonus2
1A73:0000 s_boltbonus3
1A74:0000 s_nukebonus
1A75:0000 s_nukebonus2
1A76:0000 s_nukebonus3
1A77:0000 s_potionbonus
1A78:0000 s_rkeybonus
1A79:0000 s_ykeybonus
1A7A:0000 s_gkeybonus
1A7B:0000 s_bkeybonus
1A7C:0000 s_chestbonus
1A7D:0000 s_oldchestbonus
1A7E:0000 s_waterchestbonus1
1A7F:0000 s_waterchestbonus2
1A80:0000 s_waterchestbonus3
1A81:0000 s_rgem1bonus
1A82:0000 s_ygem1bonus
1A83:0000 s_ggem1bonus
1A84:0000 s_bgem1bonus
1A85:0000 s_pgem1bonus
1A86:0000 s_bonus_die
1A87:0000 s_ftimebonus
1A88:0000 s_ftimebonus2
1A89:0000 s_walldie1
1A8A:0000 s_walldie2
1A8B:0000 s_walldie3
1A8C:0000 s_walldie4
1A8D:0000 s_walldie5
1A8E:0000 s_walldie6
1A8F:0000 s_portal_wait
1A90:0000 s_portal1
1A91:0000 s_portal2
1A92:0000 s_portal3
1A93:0000 s_portal4
1A94:0000 s_portal5
1A95:0000 s_portal6
1A96:0000 s_aqua_under1
1A97:0000 s_aqua_under2
1A98:0000 s_aqua_under3
1A99:0000 s_aqua_left
1A9A:0000 s_aqua_right
1A9B:0000 s_aqua_rise1
1A9C:0000 s_aqua_rise2
1A9D:0000 s_aqua_sink1
1A9E:0000 s_aqua_sink2
1A9F:0000 s_aqua_walk1
1AA0:0000 s_aqua_walk2
1AA1:0000 s_aqua_attack1
1AA2:0000 s_aqua_attack2
1AA3:0000 s_aqua_die1
1AA4:0000 s_aqua_die2
1AA5:0000 s_aqua_die3
1AA6:0000 s_aqua_die4
1AA7:0000 s_aqua_die5
1AA8:0000 s_aqua_die6
1AA9:0000 s_aqua_die7
1AAA:0000 s_wizard_walk1
1AAB:0000 s_wizard_walk2
1AAC:0000 s_wizard_walk3
1AAD:0000 s_wizard_walk4
1AAE:0000 s_wizard_attack1
1AAF:0000 s_wizard_attack2
1AB0:0000 s_wizard_ouch
1AB1:0000 s_wizard_die1
1AB2:0000 s_wizard_die2
1AB3:0000 s_wizard_die3
1AB4:0000 s_wizard_die4
1AB5:0000 s_wizard_shoot1
1AB6:0000 s_wizard_shoot2
1AB7:0000 s_wizard_shoot3
1AB8:0000 s_wizard_shot1
1AB9:0000 s_wizard_shot2
1ABA:0000 s_ray_under
1ABB:0000 s_ray_rise
1ABC:0000 s_ray_sink
1ABD:0000 s_ray_fly1
1ABE:0000 s_ray_fly2
1ABF:0000 s_ray_fly3
1AC0:0000 s_ray_fly4
1AC1:0000 s_ray_attack1
1AC2:0000 s_ray_attack2
1AC3:0000 s_ray_attack3
1AC4:0000 s_ray_die1
1AC5:0000 s_ray_die2
1AC6:0000 s_ray_shot1
1AC7:0000 s_ray_shot2
1AC8:0000 s_blob_gnd1
1AC9:0000 s_blob_gnd2
1ACA:0000 s_blob_rise1
1ACB:0000 s_blob_rise2
1ACC:0000 s_blob_sink1
1ACD:0000 s_blob_sink2
1ACE:0000 s_blob_walk1
1ACF:0000 s_blob_walk2
1AD0:0000 s_blob_walk3
1AD1:0000 s_blob_ouch
1AD2:0000 s_blob_die1
1AD3:0000 s_blob_die2
1AD4:0000 s_blob_die3
1AD5:0000 s_blob_shot1
1AD6:0000 s_blob_shot2
1AD7:0000 s_skel_1
1AD8:0000 s_skel_2
1AD9:0000 s_skel_3
